time,x_ABF_0,x_CTC_0,x_ABF_1,x_CTC_1,x_ABF_2,x_CTC_2,x_ABF_3,x_CTC_3,x_ABF_4,x_CTC_4
119.37384615936459,9.852897786375395,10.997382601809297,9.31432216696966,11.521670136813395,9.741083915113487,11.331005724035808,10.000139539560307,11.417832800462678,9.424168934932501,11.328372537579376
120.00212561159626,9.898318695440162,11.028242230040485,9.35926965420448,11.554271726007228,9.783333253873856,11.363278498631582,10.047231218335094,11.451648200513748,9.4704632716779,11.360599927751604
120.63041669538369,9.943526030747059,11.05877081894697,9.402362609308442,11.58707487543505,9.824810167543255,11.395445821184405,10.09449731567881,11.485037342939732,9.515586067372304,11.39276146601515
121.25869614761537,9.989214796899825,11.089980174206673,9.447778623974592,11.619554994554091,9.865449249158335,11.427670541684657,10.140869072911437,11.518401568427297,9.56070886306671,11.425073395799867
121.88697559984705,10.034451498598429,11.121318563611759,9.495761528243166,11.652260700954885,9.906926607773062,11.459698596349535,10.18709266334954,11.551529527945217,9.604230300522405,11.456794438187805
122.51526765293076,10.079451489382057,11.15245494783752,9.545097066311596,11.684799107912012,9.948431108052851,11.492228994290741,10.23263771216107,11.584789191280489,9.646957510566011,11.488743292584141
123.14354710516244,10.125075738462131,11.183586882609994,9.592573622795882,11.717589798870623,9.989684659167143,11.524543148802103,10.277761397746133,11.617982557761758,9.689968150784129,11.520245421870259
123.77182655739414,10.171598332161258,11.215383120758515,9.638652606002093,11.750575820828622,10.03213733794282,11.557388123090844,10.32268530287852,11.651401956470108,9.73165819326607,11.552407850024466
124.40011764118157,10.21793538365823,11.247130859866187,9.684478860261489,11.78336918145921,10.074197129993076,11.590048890013415,10.367594079869725,11.684693210923733,9.773820767687303,11.584404313570992
125.02839806270956,10.263200561857882,11.278467024544627,9.731093557643696,11.815916932268244,10.11653011847528,11.622593526205149,10.412960705604368,11.718003153081172,9.817267454327741,11.61584593029238
125.65667751494121,10.307931360717527,11.309770263268728,9.77979638345443,11.848628422958313,10.158715385108286,11.654945056124136,10.459171392627933,11.751663712157784,9.862390250022148,11.64746018580138
